No 	 Uid 	 Jid  	 offloadtime 	 begintime 	 commutime 	 runtime 	 energy 	 AoI
0	3	0	0.05	0.05	0.007952086321933798	0.2	0.06957028718265074	0.05
1	2	0	0.05	0.06	0.011928129482900696	0.3	0.10435543077397609	0.09
2	4	1	0.15	0.15	0.0030840586747561084	0.125	0.03363626757308587	0.04
3	4	0	0.1	0.1	0.0030840586747561084	0.375	0.03363626757308587	0.1
4	3	1	0.25	0.25	0.007952086321933798	0.1	0.06957028718265074	0.03
5	0	0	0.25	0.26	0.01988021580483449	0.1	0.17392571795662679	0.04
6	4	2	0.2	0.2	0.0030840586747561084	0.375	0.03363626757308587	0.1
7	4	3	0.3	0.3	0.0030840586747561084	0.25	0.03363626757308587	0.07
8	4	4	0.35	0.35	0.0030840586747561084	0.25	0.03363626757308587	0.07
9	4	5	0.4	0.4	0.0030840586747561084	0.125	0.03363626757308587	0.04
10	4	6	0.45	0.45	0.0030840586747561084	0.25	0.03363626757308587	0.07
11	4	7	0.5	0.5	0.0030840586747561084	0.5	0.03363626757308587	0.13
12	4	8	0.55	0.55	0.0030840586747561084	0.5	0.03363626757308587	0.13
13	4	9	0.6	0.6	0.0030840586747561084	0.375	0.03363626757308587	0.1
14	4	10	0.65	0.65	0.0030840586747561084	0.375	0.03363626757308587	0.1
15	4	11	0.7	0.7	0.0030840586747561084	0.5	0.03363626757308587	0.13
16	4	13	0.8	0.8	0.0030840586747561084	0.125	0.03363626757308587	0.04
17	4	12	0.75	0.75	0.0030840586747561084	0.375	0.03363626757308587	0.1
18	2	1	0.9	0.91	0.017266775445511376	0.075	0.11123160677381869	0.02
19	0	1	0.9	0.93	0.02877795907585229	0.025	0.18538601128969778	0.04
20	4	14	0.85	0.85	0.0030840586747561084	0.375	0.03363626757308587	0.1
21	4	16	0.95	0.96	0.004866283541662632	0.125	0.03593177320166148	0.04
22	4	15	0.9	0.9	0.005755591815170457	0.375	0.03707720225793955	0.1
23	3	2	0.9	0.92	0.011511183630340914	0.4	0.0741544045158791	0.11
24	1	0	0.95	0.97	0.01946513416665053	0.15	0.14372709280664592	0.06
25	3	3	0.95	0.95	0.009732567083325264	0.4	0.07186354640332296	0.09
26	4	17	1.0	1.0	0.0030840586747561084	0.125	0.03363626757308587	0.04
27	4	18	1.05	1.05	0.0030840586747561084	0.125	0.03363626757308587	0.04
28	4	19	1.1	1.1	0.0030840586747561084	0.25	0.03363626757308587	0.07
29	4	20	1.15	1.15	0.0030840586747561084	0.125	0.03363626757308587	0.04
30	4	21	1.2	1.2	0.0030840586747561084	0.25	0.03363626757308587	0.07
31	4	23	1.3	1.3	0.0030840586747561084	0.125	0.03363626757308587	0.04
32	4	22	1.25	1.25	0.0030840586747561084	0.5	0.03363626757308587	0.13
33	4	24	1.35	1.35	0.0030840586747561084	0.375	0.03363626757308587	0.1
34	4	26	1.45	1.45	0.0030840586747561084	0.25	0.03363626757308587	0.07
35	4	25	1.4	1.4	0.0030840586747561084	0.5	0.03363626757308587	0.13
36	4	27	1.5	1.5	0.0030840586747561084	0.5	0.03363626757308587	0.13
37	4	28	1.55	1.55	0.0030840586747561084	0.5	0.03363626757308587	0.13
38	4	29	1.6	1.6	0.0030840586747561084	0.5	0.03363626757308587	0.13
39	4	30	1.65	1.65	0.0030840586747561084	0.375	0.03363626757308587	0.1
40	4	32	1.75	1.75	0.0030840586747561084	0.125	0.03363626757308587	0.04
41	4	31	1.7	1.7	0.0030840586747561084	0.5	0.03363626757308587	0.13
42	4	34	1.85	1.85	0.0030840586747561084	0.25	0.03363626757308587	0.07
43	4	33	1.8	1.8	0.0030840586747561084	0.5	0.03363626757308587	0.13
44	0	2	1.95	1.97	0.024331417708313163	0.075	0.17965886600830738	0.04
45	2	2	1.95	1.96	0.014598850624987897	0.15	0.10779531960498442	0.05
46	4	35	1.9	1.9	0.0030840586747561084	0.5	0.03363626757308587	0.13
47	3	4	1.95	1.95	0.009732567083325264	0.4	0.07186354640332296	0.1
48	4	36	2.0	2.0	0.0030840586747561084	0.25	0.03363626757308587	0.07
49	4	37	2.05	2.05	0.0030840586747561084	0.125	0.03363626757308587	0.04
50	4	38	2.1	2.1	0.0030840586747561084	0.375	0.03363626757308587	0.1
51	4	39	2.15	2.15	0.0030840586747561084	0.25	0.03363626757308587	0.07
52	4	40	2.2	2.2	0.0030840586747561084	0.25	0.03363626757308587	0.07
53	2	3	2.3	2.3	0.009252176024268324	0.075	0.1009088027192576	0.02
54	4	41	2.25	2.25	0.0030840586747561084	0.5	0.03363626757308587	0.13
55	4	42	2.35	2.35	0.0030840586747561084	0.25	0.03363626757308587	0.07
56	4	43	2.4	2.4	0.0030840586747561084	0.25	0.03363626757308587	0.07
57	4	45	2.5	2.5	0.0030840586747561084	0.125	0.03363626757308587	0.04
58	4	44	2.45	2.45	0.0030840586747561084	0.5	0.03363626757308587	0.13
59	4	47	2.6	2.6	0.0030840586747561084	0.25	0.03363626757308587	0.07
60	4	46	2.55	2.55	0.0030840586747561084	0.5	0.03363626757308587	0.13
61	4	49	2.7	2.7	0.0030840586747561084	0.125	0.03363626757308587	0.04
62	4	48	2.65	2.65	0.0030840586747561084	0.5	0.03363626757308587	0.13
63	4	51	2.8	2.8	0.0030840586747561084	0.25	0.03363626757308587	0.07
64	4	50	2.75	2.75	0.0030840586747561084	0.5	0.03363626757308587	0.13
65	4	52	2.85	2.85	0.0030840586747561084	0.25	0.03363626757308587	0.07
66	4	53	2.9	2.9	0.0030840586747561084	0.5	0.03363626757308587	0.13
67	4	54	2.95	2.95	0.0030840586747561084	0.375	0.03363626757308587	0.1
68	4	55	3.0	3.0	0.0030840586747561084	0.25	0.03363626757308587	0.07
69	4	56	3.05	3.05	0.0030840586747561084	0.125	0.03363626757308587	0.04
70	4	57	3.1	3.1	0.0030840586747561084	0.125	0.03363626757308587	0.04
71	4	58	3.15	3.15	0.0030840586747561084	0.125	0.03363626757308587	0.04
72	4	60	3.25	3.25	0.0030840586747561084	0.25	0.03363626757308587	0.07
73	4	59	3.2	3.2	0.0030840586747561084	0.5	0.03363626757308587	0.13
74	4	61	3.3	3.3	0.0030840586747561084	0.25	0.03363626757308587	0.07
75	4	62	3.35	3.35	0.0030840586747561084	0.25	0.03363626757308587	0.07
76	4	64	3.45	3.45	0.0030840586747561084	0.125	0.03363626757308587	0.04
77	4	63	3.4	3.4	0.0030840586747561084	0.5	0.03363626757308587	0.13
78	1	1	3.5	3.51	0.01946513416665053	0.1	0.14372709280664592	0.03
79	4	65	3.5	3.5	0.004866283541662632	0.25	0.03593177320166148	0.07
80	2	4	3.5	3.52	0.014598850624987897	0.225	0.10779531960498442	0.08
81	4	66	3.55	3.55	0.0030840586747561084	0.5	0.03363626757308587	0.13
82	4	68	3.65	3.65	0.0030840586747561084	0.25	0.03363626757308587	0.07
83	4	67	3.6	3.6	0.0030840586747561084	0.5	0.03363626757308587	0.13
84	4	69	3.7	3.7	0.0030840586747561084	0.375	0.03363626757308587	0.1
85	4	70	3.75	3.75	0.0030840586747561084	0.25	0.03363626757308587	0.07
86	4	71	3.8	3.8	0.0030840586747561084	0.5	0.03363626757308587	0.13
87	4	73	3.9	3.9	0.0030840586747561084	0.125	0.03363626757308587	0.04
88	4	72	3.85	3.85	0.0030840586747561084	0.375	0.03363626757308587	0.1
89	4	74	3.95	3.95	0.0030840586747561084	0.25	0.03363626757308587	0.07
90	4	76	4.05	4.05	0.0030840586747561084	0.125	0.03363626757308587	0.04
91	4	75	4.0	4.0	0.0030840586747561084	0.375	0.03363626757308587	0.1
92	4	77	4.1	4.1	0.0030840586747561084	0.5	0.03363626757308587	0.13
