TIMESLOT 	 Throughout 	 Age 	 Run 	 commTotal 	 commEnergy 	 reward
10.0	44.8	3.616	13065.0	0.23539190152010414	2.1676728761871193	1810236.8812645455
15.0	69.0	5.55	19960.0	0.38754220957838964	3.44855041945157	2759624.0980001427
20.0	93.4	7.464	26765.0	0.5421388541579703	4.685910897670081	3692047.170445427
25.0	116.2	9.318	33470.0	0.6621333401798589	5.783778995666286	4629665.88916132
30.0	137.8	11.088	39880.0	0.7643115172520443	6.781573287735273	5544830.742923667
35.0	159.8	12.794	46045.0	0.8650893405568474	7.75383272415187	6404383.461646706
40.0	184.0	14.812	53310.0	1.0213773213531883	9.106889296932188	7391284.92220717
45.0	208.6	16.83	60535.0	1.1863986271340663	10.52813903174874	8359318.380732914
50.0	230.4	18.592	66935.0	1.2939083239961786	11.551393174821767	9262994.238228986
55.0	252.2	20.364	73360.0	1.400521706388211	12.566765611342717	10165770.70224756
60.0	274.4	22.018	79215.0	1.5192078876482187	13.640011866320233	10987292.984519139
65.0	296.2	23.762	85535.0	1.6179338944725041	14.60883410959531	11876227.533467624
70.0	318.0	25.492	91790.0	1.7192568732540865	15.569930106266	12763917.04935436
75.0	340.2	27.332	98450.0	1.8309587112371741	16.574058073588226	13715608.76268596
80.0	364.6	29.252	105290.0	1.9819902187662748	17.81869225528572	14646986.183219563
85.0	385.8	30.968	111525.0	2.0739253665473467	18.726961579142372	15536523.73249142
90.0	407.6	32.77	118105.0	2.1648872576200855	19.607862787814838	16477888.906359171
95.0	431.0	34.446	123970.0	2.311505270891641	20.925527695937852	17285335.204486825
100.0	455.4	36.328	130645.0	2.46714826554887	22.275370166027134	18203567.198571414
105.0	477.6	38.124	137110.0	2.5856332577073915	23.37881574295656	19093096.673709758
110.0	500.4	40.06	144140.0	2.699526044568657	24.420567998919264	20083984.63819999
115.0	524.0	41.95	150920.0	2.835205645855501	25.603899325376727	21010969.383278225
120.0	547.2	43.724	157285.0	2.9616748077048185	26.734632459353282	21889703.212547302
125.0	570.6	45.538	163780.0	3.0921007807872063	27.910402659168795	22783790.731053144
130.0	593.6	47.514	170880.0	3.2388235801491057	29.203676878261547	23765480.368899588
135.0	613.8	49.18	176980.0	3.3048224357888745	29.91676575081099	24669564.031985182
140.0	638.0	51.082	183770.0	3.461024164780532	31.26377843126691	25593009.871611122
145.0	660.6	52.87	190185.0	3.5767778628524365	32.313860340868956	26493550.96689023
