TIMESLOT 	 Throughout 	 Age 	 Run 	 commTotal 	 commEnergy 	 reward
10.0	46.4	3.676	13125.0	0.2756202665913323	2.3907437568842456	1806056.114480754
15.0	70.4	5.472	19460.0	0.4296974100684412	3.716427117682754	2662912.152231492
20.0	93.4	7.37	26280.0	0.5654756742836974	4.893952721992016	3606775.7025835374
25.0	115.6	9.18	32825.0	0.675902350701983	5.93203508121878	4544000.994178193
30.0	138.8	10.996	39330.0	0.8092568258096722	7.117509991642874	5434426.912661542
35.0	160.6	12.766	45730.0	0.9310263681022297	8.23111886914494	6326561.823207128
40.0	187.2	14.902	53235.0	1.1406385919197495	9.895537188625571	7311460.4346212335
45.0	209.6	16.77	60020.0	1.2556202127569807	11.003722887545674	8267656.792305254
50.0	231.6	18.546	66455.0	1.3604663626932338	12.004953528663581	9185243.685078977
55.0	256.0	20.46	73250.0	1.5230551148032958	13.383923894895968	10082557.039136231
60.0	277.4	22.06	79000.0	1.6169367760010314	14.299838674518671	10897228.328293238
65.0	300.2	23.928	85755.0	1.7393245253129535	15.399994842117817	11842400.624638053
70.0	324.2	25.81	92430.0	1.8929534275452002	16.724306414678342	12763983.793468462
75.0	346.2	27.454	98295.0	2.011805479060817	17.852750038387075	13581869.821890479
80.0	368.6	29.36	105235.0	2.1107430183672578	18.743129807657173	14570714.177004421
85.0	393.0	31.22	111825.0	2.2718522922397226	20.078665005919532	15469006.036931172
90.0	415.0	32.994	118250.0	2.376808255892397	21.06223868710419	16390823.057610229
95.0	439.8	34.836	124690.0	2.54507016677608	22.472247281837003	17265238.634756237
100.0	463.6	36.752	131535.0	2.682715098273808	23.632789846576856	18218072.086060017
105.0	486.2	38.568	138085.0	2.8014869297833522	24.71207921907578	19128685.405412704
110.0	509.0	40.446	144860.0	2.9313309467994433	25.859024766507126	20077900.812366653
115.0	532.0	42.29	151480.0	3.0525921438326025	26.928065934771233	21009394.1773597
120.0	556.8	44.044	157535.0	3.2170730785238764	28.266354925138984	21831608.158050787
125.0	578.6	46.036	164825.0	3.3328180446954985	29.348472948597298	22861130.192048173
130.0	602.2	48.014	171955.0	3.4738173356110535	30.56238723529659	23833292.08184748
135.0	625.2	49.886	178715.0	3.59999178625088	31.702223020691513	24779567.652016442
140.0	647.4	51.644	185020.0	3.7256677660820134	32.8327289897433	25647267.96284226
145.0	671.6	53.5	191610.0	3.875077422576493	34.09227817379364	26550978.49734704
