sysTime 	ACTION 	ChannelUsed 	TransJob 	CPU 	RunningJob 	ActionQos 
10	0	0.0	0	0.0	0	0.0
20	0	0.0	0	0.0	0	0.0
30	0	0.0	0	0.0	0	0.0
40	0	0.0	0	0.0	0	0.0
50	20	32.19280948873624	2	0.0	0	0.0
60	20	32.19280948873624	2	0.0	0	0.0
70	20	0.0	0	0.1	1	0.0
80	20	0.0	0	0.2	2	0.0
90	20	0.0	0	0.1	1	574.9580980596428
100	15	44.4784842672896	4	0.1	1	574.9580980596428
110	15	33.3588632004672	3	0.2	2	574.9580980596428
120	15	11.119621066822397	1	0.30000000000000004	3	574.9580980596428
130	15	-3.552713678800501e-15	0	0.30000000000000004	3	674.268781826617
140	15	-3.552713678800501e-15	0	0.4	4	674.268781826617
150	11	39.45516087506906	3	0.4	4	674.268781826617
160	11	13.151720291689685	1	0.4	4	2874.7904902982136
170	11	-3.552713678800501e-15	0	0.4	4	2697.075127306469
180	11	-3.552713678800501e-15	0	0.30000000000000004	3	1391.5260936158868
190	11	-3.552713678800501e-15	0	0.30000000000000004	3	1391.5260936158868
200	11	39.45516087506906	3	0.20000000000000004	2	3478.815234039717
210	11	13.151720291689685	1	0.10000000000000003	1	695.7630468079434
220	11	-3.552713678800501e-15	0	0.20000000000000004	2	695.7630468079434
230	11	-3.552713678800501e-15	0	0.30000000000000004	3	695.7630468079434
240	11	-3.552713678800501e-15	0	0.30000000000000004	3	695.7630468079434
250	11	39.45516087506906	3	0.20000000000000004	2	347.8815234039717
260	11	13.151720291689685	1	0.30000000000000004	3	347.8815234039717
270	11	-3.552713678800501e-15	0	0.4	4	347.8815234039717
280	11	-3.552713678800501e-15	0	0.5	5	347.8815234039717
290	11	-3.552713678800501e-15	0	0.5	5	347.8815234039717
300	11	39.45516087506906	3	0.30000000000000004	3	347.8815234039717
310	11	13.151720291689685	1	0.30000000000000004	3	10436.44570211915
320	11	-3.552713678800501e-15	0	0.4	4	10436.44570211915
330	11	-3.552713678800501e-15	0	0.4	4	6957.630468079434
340	11	-3.552713678800501e-15	0	0.4	4	6957.630468079434
350	11	39.45516087506906	3	0.30000000000000004	3	5566.104374463547
360	11	13.151720291689685	1	0.4	4	5566.104374463547
370	11	-3.552713678800501e-15	0	0.4	4	1043.644570211915
380	11	-3.552713678800501e-15	0	0.30000000000000004	3	1391.5260936158868
390	11	-3.552713678800501e-15	0	0.30000000000000004	3	1391.5260936158868
400	11	39.45516087506906	3	0.10000000000000003	1	3478.815234039717
410	11	13.151720291689685	1	0.10000000000000003	1	695.7630468079434
420	11	-3.552713678800501e-15	0	0.20000000000000004	2	695.7630468079434
430	11	-3.552713678800501e-15	0	0.30000000000000004	3	695.7630468079434
440	11	-3.552713678800501e-15	0	0.30000000000000004	3	695.7630468079434
450	15	44.4784842672896	4	0.30000000000000004	3	695.7630468079434
460	15	33.3588632004672	3	0.30000000000000004	3	695.7630468079434
470	15	11.119621066822397	1	0.4	4	695.7630468079434
480	15	-3.552713678800501e-15	0	0.4	4	6957.630468079434
490	15	-3.552713678800501e-15	0	0.5	5	6957.630468079434
500	11	39.45516087506906	3	0.30000000000000004	3	1348.537563653234
510	11	13.151720291689685	1	0.4	4	1348.537563653234
