No 	 Uid 	 Jid  	 offloadtime 	 begintime 	 commutime 	 runtime 	 energy 	 AoI
0	0	0	0.05	0.06	0.01988021580483449	0.1	0.17392571795662679	0.03
1	2	1	0.1	0.11	0.017266775445511376	0.075	0.11123160677381869	0.02
2	2	0	0.05	0.07	0.011928129482900696	0.3	0.10435543077397609	0.1
3	3	0	0.1	0.12	0.011511183630340914	0.2	0.0741544045158791	0.06
4	1	0	0.1	0.13	0.02302236726068183	0.15	0.1483088090317582	0.07
5	3	1	0.15	0.15	0.009732567083325264	0.1	0.07186354640332296	0.02
6	4	1	0.15	0.16	0.004866283541662632	0.125	0.03593177320166148	0.04
7	4	0	0.1	0.1	0.005755591815170457	0.375	0.03707720225793955	0.1
8	1	1	0.15	0.17	0.01946513416665053	0.1	0.14372709280664592	0.05
9	1	2	0.2	0.22	0.01946513416665053	0.05	0.14372709280664592	0.04
10	3	2	0.2	0.2	0.009732567083325264	0.4	0.07186354640332296	0.09
11	1	3	0.25	0.27	0.01946513416665053	0.05	0.14372709280664592	0.04
12	4	2	0.2	0.21	0.004866283541662632	0.375	0.03593177320166148	0.1
13	4	3	0.25	0.26	0.004866283541662632	0.25	0.03593177320166148	0.07
14	3	3	0.25	0.25	0.009732567083325264	0.4	0.07186354640332296	0.09
15	1	4	0.3	0.32	0.01946513416665053	0.15	0.14372709280664592	0.06
16	4	4	0.3	0.31	0.004866283541662632	0.25	0.03593177320166148	0.07
17	3	5	0.35	0.35	0.009732567083325264	0.1	0.07186354640332296	0.02
18	3	4	0.3	0.3	0.009732567083325264	0.4	0.07186354640332296	0.09
19	4	5	0.35	0.36	0.004866283541662632	0.125	0.03593177320166148	0.04
20	1	5	0.35	0.37	0.01946513416665053	0.1	0.14372709280664592	0.05
21	1	6	0.4	0.42	0.01946513416665053	0.1	0.14372709280664592	0.05
22	4	6	0.4	0.41	0.004866283541662632	0.25	0.03593177320166148	0.07
23	3	6	0.4	0.4	0.009732567083325264	0.4	0.07186354640332296	0.09
24	2	2	0.45	0.46	0.017266775445511376	0.15	0.11123160677381869	0.04
25	3	7	0.45	0.47	0.011511183630340914	0.2	0.0741544045158791	0.06
26	1	7	0.45	0.48	0.02302236726068183	0.15	0.1483088090317582	0.07
27	1	8	0.5	0.52	0.01946513416665053	0.2	0.14372709280664592	0.07
28	4	7	0.45	0.45	0.005755591815170457	0.5	0.03707720225793955	0.13
29	3	8	0.5	0.5	0.009732567083325264	0.4	0.07186354640332296	0.09
30	3	9	0.55	0.55	0.009732567083325264	0.2	0.07186354640332296	0.04
31	1	9	0.55	0.57	0.01946513416665053	0.1	0.14372709280664592	0.05
32	4	8	0.5	0.51	0.004866283541662632	0.5	0.03593177320166148	0.13
33	4	10	0.6	0.61	0.004866283541662632	0.125	0.03593177320166148	0.04
34	4	9	0.55	0.56	0.004866283541662632	0.375	0.03593177320166148	0.1
35	1	10	0.6	0.62	0.01946513416665053	0.15	0.14372709280664592	0.06
36	3	10	0.6	0.6	0.009732567083325264	0.3	0.07186354640332296	0.07
37	3	11	0.65	0.65	0.009732567083325264	0.1	0.07186354640332296	0.02
38	1	11	0.65	0.67	0.01946513416665053	0.1	0.14372709280664592	0.05
39	3	12	0.7	0.7	0.009732567083325264	0.1	0.07186354640332296	0.02
40	4	12	0.7	0.71	0.004866283541662632	0.125	0.03593177320166148	0.04
41	4	11	0.65	0.66	0.004866283541662632	0.375	0.03593177320166148	0.1
42	1	12	0.7	0.72	0.01946513416665053	0.15	0.14372709280664592	0.06
43	3	13	0.75	0.75	0.009732567083325264	0.1	0.07186354640332296	0.02
44	4	13	0.75	0.76	0.004866283541662632	0.125	0.03593177320166148	0.04
45	1	13	0.75	0.77	0.01946513416665053	0.1	0.14372709280664592	0.05
46	2	3	0.8	0.81	0.014598850624987897	0.075	0.10779531960498442	0.03
47	0	1	0.8	0.82	0.024331417708313163	0.025	0.17965886600830738	0.03
48	3	14	0.8	0.8	0.009732567083325264	0.2	0.07186354640332296	0.05
49	3	15	0.85	0.87	0.011511183630340914	0.1	0.0741544045158791	0.04
50	1	14	0.85	0.88	0.02302236726068183	0.05	0.1483088090317582	0.05
51	2	4	0.85	0.86	0.017266775445511376	0.225	0.11123160677381869	0.06
52	2	5	0.9	0.91	0.017266775445511376	0.15	0.11123160677381869	0.04
53	4	14	0.85	0.85	0.005755591815170457	0.5	0.03707720225793955	0.13
54	1	15	0.9	0.93	0.02302236726068183	0.2	0.1483088090317582	0.08
55	4	15	0.9	0.9	0.005755591815170457	0.375	0.03707720225793955	0.1
56	1	16	0.95	0.97	0.01946513416665053	0.1	0.14372709280664592	0.05
57	3	16	0.9	0.92	0.011511183630340914	0.4	0.0741544045158791	0.11
58	3	17	0.95	0.95	0.009732567083325264	0.4	0.07186354640332296	0.09
59	1	17	1.0	1.02	0.01946513416665053	0.2	0.14372709280664592	0.07
60	4	16	0.95	0.96	0.004866283541662632	0.5	0.03593177320166148	0.13
61	3	18	1.0	1.0	0.009732567083325264	0.4	0.07186354640332296	0.09
62	1	18	1.05	1.07	0.01946513416665053	0.05	0.14372709280664592	0.04
63	4	17	1.0	1.01	0.004866283541662632	0.375	0.03593177320166148	0.1
64	4	18	1.05	1.06	0.004866283541662632	0.25	0.03593177320166148	0.07
65	0	2	1.1	1.12	0.02877795907585229	0.075	0.18538601128969778	0.03
66	3	19	1.05	1.05	0.009732567083325264	0.4	0.07186354640332296	0.09
67	1	19	1.1	1.13	0.02302236726068183	0.05	0.1483088090317582	0.05
68	3	20	1.1	1.11	0.011511183630340914	0.2	0.0741544045158791	0.06
69	4	19	1.1	1.1	0.005755591815170457	0.25	0.03707720225793955	0.07
70	0	3	1.2	1.21	0.01988021580483449	0.05	0.17392571795662679	0.02
71	3	21	1.15	1.15	0.006168117349512217	0.3	0.06727253514617174	0.08
72	3	22	1.25	1.25	0.009732567083325263	0.1	0.07186354640332294	0.02
73	2	6	1.2	1.22	0.011928129482900696	0.3	0.10435543077397609	0.1
74	1	20	1.25	1.27	0.019465134166650525	0.15	0.1437270928066459	0.06
75	3	23	1.3	1.3	0.009732567083325261	0.1	0.07186354640332293	0.02
76	4	20	1.25	1.26	0.004866283541662631	0.375	0.03593177320166147	0.1
77	1	21	1.3	1.32	0.019465134166650522	0.1	0.14372709280664586	0.05
78	4	21	1.3	1.31	0.0048662835416626304	0.25	0.035931773201661465	0.07
79	1	22	1.35	1.36	0.01233623469902443	0.2	0.13454507029234347	0.06
80	3	24	1.4	1.4	0.009732567083325263	0.2	0.07186354640332294	0.04
81	1	23	1.4	1.42	0.019465134166650525	0.15	0.1437270928066459	0.06
82	4	23	1.45	1.46	0.0048662835416626304	0.125	0.035931773201661465	0.04
83	1	24	1.45	1.47	0.019465134166650522	0.1	0.14372709280664586	0.05
84	3	26	1.5	1.5	0.009732567083325263	0.1	0.07186354640332294	0.02
85	4	22	1.4	1.41	0.004866283541662631	0.5	0.03593177320166147	0.13
86	3	25	1.45	1.45	0.009732567083325261	0.4	0.07186354640332293	0.09
87	1	25	1.5	1.52	0.019465134166650525	0.1	0.1437270928066459	0.05
88	4	24	1.5	1.51	0.004866283541662631	0.25	0.03593177320166147	0.07
89	3	27	1.55	1.55	0.009732567083325261	0.2	0.07186354640332293	0.04
90	1	26	1.55	1.57	0.019465134166650522	0.2	0.14372709280664586	0.07
91	3	28	1.6	1.6	0.009732567083325263	0.2	0.07186354640332294	0.04
92	1	27	1.6	1.62	0.019465134166650525	0.2	0.1437270928066459	0.07
93	3	29	1.65	1.65	0.009732567083325261	0.1	0.07186354640332293	0.02
94	4	25	1.55	1.56	0.0048662835416626304	0.5	0.035931773201661465	0.13
95	1	28	1.65	1.67	0.019465134166650522	0.15	0.14372709280664586	0.06
96	4	27	1.65	1.66	0.0048662835416626304	0.25	0.035931773201661465	0.07
97	4	26	1.6	1.61	0.004866283541662631	0.5	0.03593177320166147	0.13
98	3	30	1.7	1.7	0.009732567083325263	0.2	0.07186354640332294	0.04
99	4	28	1.7	1.71	0.004866283541662631	0.125	0.03593177320166147	0.04
100	1	29	1.7	1.72	0.019465134166650525	0.2	0.1437270928066459	0.07
101	4	29	1.75	1.76	0.0048662835416626304	0.125	0.035931773201661465	0.04
102	1	30	1.75	1.77	0.019465134166650522	0.1	0.14372709280664586	0.05
103	3	31	1.75	1.75	0.009732567083325261	0.4	0.07186354640332293	0.09
104	1	31	1.8	1.82	0.019465134166650525	0.1	0.1437270928066459	0.05
105	4	30	1.8	1.81	0.004866283541662631	0.25	0.03593177320166147	0.07
106	3	32	1.8	1.8	0.009732567083325263	0.4	0.07186354640332294	0.09
107	4	31	1.85	1.85	0.003084058674756107	0.125	0.03363626757308587	0.04
108	0	4	1.9	1.91	0.019880215804834487	0.075	0.17392571795662679	0.02
109	2	7	1.9	1.92	0.011928129482900694	0.075	0.10435543077397609	0.04
110	2	8	1.95	1.96	0.01726677544551137	0.225	0.11123160677381866	0.06
111	4	32	1.95	1.95	0.0057555918151704554	0.25	0.03707720225793955	0.07
112	1	32	1.95	1.98	0.023022367260681822	0.2	0.1483088090317582	0.08
113	3	33	1.95	1.97	0.011511183630340911	0.3	0.0741544045158791	0.09
114	3	34	2.0	2.02	0.011511183630340911	0.1	0.0741544045158791	0.04
115	2	9	2.0	2.01	0.01726677544551137	0.225	0.11123160677381866	0.06
116	4	33	2.0	2.0	0.0057555918151704554	0.25	0.03707720225793955	0.07
117	1	33	2.0	2.03	0.023022367260681822	0.2	0.1483088090317582	0.08
118	1	34	2.05	2.07	0.019465134166650522	0.15	0.14372709280664586	0.06
119	3	35	2.05	2.05	0.009732567083325261	0.3	0.07186354640332293	0.07
120	4	34	2.05	2.06	0.0048662835416626304	0.25	0.035931773201661465	0.07
121	4	35	2.1	2.11	0.0048662835416626304	0.125	0.035931773201661465	0.04
122	1	35	2.1	2.12	0.019465134166650522	0.2	0.14372709280664586	0.07
123	3	36	2.1	2.1	0.009732567083325261	0.4	0.07186354640332293	0.09
124	3	37	2.15	2.15	0.009732567083325261	0.2	0.07186354640332293	0.04
125	1	36	2.15	2.17	0.019465134166650522	0.15	0.14372709280664586	0.06
126	4	36	2.15	2.16	0.0048662835416626304	0.25	0.035931773201661465	0.07
127	3	38	2.2	2.2	0.009732567083325261	0.2	0.07186354640332293	0.04
128	4	37	2.2	2.21	0.0048662835416626304	0.25	0.035931773201661465	0.07
129	1	37	2.2	2.22	0.019465134166650522	0.2	0.14372709280664586	0.07
130	3	39	2.25	2.25	0.009732567083325261	0.2	0.07186354640332293	0.04
131	1	38	2.25	2.27	0.019465134166650522	0.1	0.14372709280664586	0.05
132	4	38	2.25	2.26	0.0048662835416626304	0.25	0.035931773201661465	0.07
133	3	40	2.3	2.3	0.009732567083325261	0.2	0.07186354640332293	0.04
134	1	39	2.3	2.32	0.019465134166650522	0.15	0.14372709280664586	0.06
135	4	39	2.3	2.31	0.0048662835416626304	0.25	0.035931773201661465	0.07
136	3	41	2.35	2.35	0.009732567083325261	0.1	0.07186354640332293	0.02
137	1	40	2.35	2.37	0.019465134166650522	0.05	0.14372709280664586	0.04
138	4	41	2.4	2.41	0.0048662835416626304	0.125	0.035931773201661465	0.04
139	1	41	2.4	2.42	0.019465134166650522	0.05	0.14372709280664586	0.04
140	4	40	2.35	2.36	0.0048662835416626304	0.375	0.035931773201661465	0.1
141	3	43	2.45	2.45	0.009732567083325261	0.1	0.07186354640332293	0.02
142	3	42	2.4	2.4	0.009732567083325261	0.4	0.07186354640332293	0.09
143	1	42	2.45	2.47	0.019465134166650522	0.1	0.14372709280664586	0.05
144	4	42	2.45	2.46	0.0048662835416626304	0.25	0.035931773201661465	0.07
145	3	44	2.5	2.5	0.009732567083325261	0.2	0.07186354640332293	0.04
146	1	43	2.5	2.52	0.019465134166650522	0.2	0.14372709280664586	0.07
147	3	45	2.55	2.55	0.009732567083325261	0.2	0.07186354640332293	0.04
148	1	44	2.55	2.57	0.019465134166650522	0.15	0.14372709280664586	0.06
149	4	44	2.55	2.56	0.0048662835416626304	0.25	0.035931773201661465	0.07
150	4	43	2.5	2.51	0.0048662835416626304	0.5	0.035931773201661465	0.13
151	3	46	2.6	2.6	0.009732567083325261	0.2	0.07186354640332293	0.04
152	4	45	2.6	2.61	0.0048662835416626304	0.125	0.035931773201661465	0.04
153	1	45	2.6	2.62	0.019465134166650522	0.2	0.14372709280664586	0.07
154	3	47	2.65	2.65	0.009732567083325261	0.2	0.07186354640332293	0.04
155	1	46	2.65	2.67	0.019465134166650522	0.15	0.14372709280664586	0.06
156	4	46	2.65	2.66	0.0048662835416626304	0.25	0.035931773201661465	0.07
157	1	47	2.7	2.72	0.019465134166650522	0.05	0.14372709280664586	0.04
158	3	48	2.7	2.7	0.009732567083325261	0.4	0.07186354640332293	0.09
159	3	49	2.75	2.75	0.009732567083325261	0.2	0.07186354640332293	0.04
160	1	48	2.75	2.77	0.019465134166650522	0.05	0.14372709280664586	0.04
161	4	47	2.7	2.71	0.0048662835416626304	0.375	0.035931773201661465	0.1
162	4	49	2.8	2.81	0.0048662835416626304	0.125	0.035931773201661465	0.04
163	1	49	2.8	2.82	0.019465134166650522	0.1	0.14372709280664586	0.05
164	3	51	2.85	2.85	0.009732567083325261	0.1	0.07186354640332293	0.02
165	4	48	2.75	2.76	0.0048662835416626304	0.5	0.035931773201661465	0.13
166	3	50	2.8	2.8	0.009732567083325261	0.4	0.07186354640332293	0.09
167	4	50	2.85	2.86	0.0048662835416626304	0.125	0.035931773201661465	0.04
168	1	50	2.85	2.87	0.019465134166650522	0.2	0.14372709280664586	0.07
169	0	5	2.9	2.92	0.024331417708313156	0.025	0.17965886600830736	0.03
170	4	51	2.9	2.91	0.0048662835416626304	0.125	0.035931773201661465	0.05
171	3	52	2.9	2.9	0.009732567083325261	0.4	0.07186354640332293	0.09
172	3	53	2.95	2.95	0.009732567083325261	0.3	0.07186354640332293	0.07
173	1	51	2.95	2.97	0.019465134166650522	0.2	0.14372709280664586	0.07
174	3	54	3.0	3.0	0.009732567083325261	0.1	0.07186354640332293	0.02
175	1	52	3.0	3.02	0.019465134166650522	0.2	0.14372709280664586	0.07
176	4	52	2.95	2.96	0.0048662835416626304	0.5	0.035931773201661465	0.13
177	1	53	3.05	3.07	0.019465134166650522	0.1	0.14372709280664586	0.05
178	4	53	3.0	3.01	0.0048662835416626304	0.5	0.035931773201661465	0.13
179	3	55	3.05	3.05	0.009732567083325261	0.4	0.07186354640332293	0.09
180	1	54	3.1	3.12	0.019465134166650522	0.05	0.14372709280664586	0.04
181	3	57	3.15	3.15	0.009732567083325261	0.1	0.07186354640332293	0.02
182	4	54	3.05	3.06	0.0048662835416626304	0.5	0.035931773201661465	0.13
183	3	56	3.1	3.1	0.009732567083325261	0.4	0.07186354640332293	0.09
184	1	55	3.15	3.17	0.019465134166650522	0.1	0.14372709280664586	0.05
185	4	55	3.1	3.11	0.0048662835416626304	0.5	0.035931773201661465	0.13
186	3	58	3.2	3.2	0.009732567083325261	0.2	0.07186354640332293	0.04
187	4	56	3.15	3.16	0.0048662835416626304	0.375	0.035931773201661465	0.1
188	1	56	3.2	3.22	0.019465134166650522	0.1	0.14372709280664586	0.05
189	4	57	3.2	3.21	0.0048662835416626304	0.25	0.035931773201661465	0.07
190	1	57	3.25	3.27	0.019465134166650522	0.2	0.14372709280664586	0.07
191	3	59	3.25	3.25	0.009732567083325261	0.4	0.07186354640332293	0.09
