TIMESLOT 	 Throughout 	 Age 	 Run 	 commTotal 	 commEnergy 	 reward
10.0	117.6	7.522	26055.0	1.395513879343393	10.29135431371685	2385683.1336322627
15.0	177.4	11.464	39780.0	2.1057320943730273	15.519260974674975	3657471.593660485
20.0	237.4	15.502	53965.0	2.810556286274043	20.688997069922493	4959587.309401657
25.0	296.6	19.218	66835.0	3.504206507457448	25.81843775480674	6167684.047693836
30.0	354.8	22.91	79510.0	4.197609814742614	30.955889960093213	7329713.753713382
35.0	412.4	26.56	92245.0	4.872742708319786	35.94168113615824	8521551.901568493
40.0	472.0	30.4	105435.0	5.609719926964635	41.310614467850954	9705621.775081318
45.0	530.0	34.068	118220.0	6.279867149610581	46.30664790726058	10903351.881485747
50.0	588.8	37.86	131500.0	6.958469070061156	51.340833535441526	12164419.852781279
55.0	648.0	41.762	145120.0	7.662220733855813	56.516374569128644	13427185.73195719
60.0	707.0	45.626	158710.0	8.345073010176742	61.58695221031091	14692555.270070963
65.0	766.4	49.62	172795.0	9.036874588304352	66.69621344293954	16033385.881177265
70.0	824.4	53.378	185840.0	9.726360398891757	71.82405103089734	17262445.58163622
75.0	883.0	56.982	198290.0	10.414514318783736	76.87237679723611	18400227.71124696
80.0	942.4	60.926	212190.0	11.090747818784338	81.9025933184388	19746326.13708199
85.0	1002.8	64.766	225520.0	11.812862234715508	87.16955348615838	20996527.37735507
90.0	1061.2	68.584	238935.0	12.482519971319828	92.15068940554534	22263884.63871735
95.0	1121.2	72.44	252320.0	13.198150022232538	97.40496851179992	23511190.103070855
100.0	1182.0	76.47	266345.0	13.916207032446152	102.62231598563633	24827525.99208683
105.0	1242.2	80.324	279735.0	14.626888505153435	107.81146185856258	26041956.741187748
110.0	1301.6	84.046	292580.0	15.327030511523667	112.98394218132907	27243597.066512667
115.0	1360.8	87.858	305815.0	16.020528411534503	118.09664183118375	28506254.966387134
120.0	1422.8	91.904	319795.0	16.765242119959023	123.47200842371379	29804729.794181734
125.0	1482.2	95.728	333095.0	17.46411897875479	128.63065866320278	31022098.945141025
130.0	1540.8	99.52	346325.0	18.15220313062463	133.6970279415308	32249992.310219523
135.0	1600.0	103.336	359625.0	18.84700448843999	138.8554431543183	33472152.83003745
140.0	1658.6	107.13	372790.0	19.538540437714857	143.9440567477039	34682225.47043889
145.0	1717.6	110.988	386270.0	20.230976244496116	149.05070917611914	35940305.60564844
