TIMESLOT 	 Throughout 	 Age 	 Run 	 commTotal 	 commEnergy 	 reward
10.0	79.4	5.938	22305.0	0.47394434478725417	4.153346144804244	2496036.8432014273
15.0	119.4	8.98	33710.0	0.7125069344452674	6.240454760283738	3777474.704251868
20.0	159.0	11.974	44960.0	0.9486838982067004	8.327563375763297	5049569.496208823
25.0	199.2	15.156	56975.0	1.1888369051291003	10.414671991242862	6407189.30525214
30.0	239.2	18.254	68645.0	1.4273994947871136	12.501780606722427	7738217.302260195
35.0	279.2	21.188	79620.0	1.6651668758129312	14.58888922220199	8977970.701201279
40.0	319.2	24.134	90645.0	1.9037294654709263	16.675997837681557	10188976.195239391
45.0	359.0	27.046	101550.0	2.141496846496728	18.76310645316112	11405731.270258104
50.0	399.4	30.058	112815.0	2.3824450620513025	20.850215068640686	12669920.388366738
55.0	439.2	32.968	123680.0	2.6194172344449114	22.93732368412025	13912548.57779813
60.0	479.0	35.972	134955.0	2.857184615470713	25.024432299599816	15173862.905416472
65.0	519.0	39.056	146530.0	3.0957472051287076	27.11154091507938	16471112.114163535
70.0	559.4	41.994	157510.0	3.3366954206832915	29.198649530558946	17684273.701069366
75.0	599.2	45.162	169445.0	3.5736675930769364	31.28575814603851	19021769.976680573
80.0	639.0	48.156	180695.0	3.811434974102774	33.372866761518075	20265116.863734532
85.0	679.0	51.128	191820.0	4.049997563760805	35.45997537699764	21504870.262675624
90.0	719.2	54.26	203650.0	4.290150570683223	37.547083992477205	22833023.469193373
95.0	759.0	57.358	215295.0	4.527122743076869	39.63419260795677	24117336.120734077
100.0	799.4	60.38	226640.0	4.76807095863148	41.721301223436335	25365713.891146064
105.0	839.4	63.236	237300.0	5.0066335482895115	43.8084098389159	26548690.177903775
110.0	879.4	66.266	248650.0	5.245196137947542	45.895518454395464	27820784.9698607
115.0	919.2	69.216	259710.0	5.48296351897338	47.98262706987503	29046883.11397289
120.0	959.2	72.308	271310.0	5.721526108631411	50.069735685354594	30354912.787058532
125.0	999.4	75.354	282720.0	5.960883906921636	52.15684430083415	31624132.788525157
130.0	1039.2	78.326	293860.0	6.197856079315281	54.24395291631372	32870354.46606941
135.0	1079.4	81.392	305410.0	6.438009086237699	56.33106153179328	34156823.21047796
140.0	1119.4	84.478	316985.0	6.676571675895769	58.418170147272846	35454072.41922521
145.0	1159.4	87.506	328340.0	6.915134265553873	60.50527876275241	36706762.37537282
