No 	 Uid 	 Jid  	 offloadtime 	 begintime 	 commutime 	 runtime 	 energy 	 AoI
0	4	1	0.1	0.1	0.0030840586747561084	0.125	0.03363626757308587	0.04
1	4	0	0.05	0.05	0.0030840586747561084	0.375	0.03363626757308587	0.1
2	2	0	0.15	0.16	0.011928129482900696	0.3	0.10435543077397609	0.09
3	4	2	0.15	0.15	0.003976043160966899	0.375	0.03478514359132537	0.1
4	4	3	0.2	0.2	0.0030840586747561084	0.25	0.03363626757308587	0.07
5	4	4	0.25	0.25	0.0030840586747561084	0.25	0.03363626757308587	0.07
6	4	5	0.3	0.3	0.0030840586747561084	0.125	0.03363626757308587	0.04
7	4	6	0.35	0.35	0.0030840586747561084	0.25	0.03363626757308587	0.07
8	4	7	0.4	0.4	0.0030840586747561084	0.5	0.03363626757308587	0.13
9	4	8	0.45	0.45	0.0030840586747561084	0.5	0.03363626757308587	0.13
10	4	9	0.5	0.5	0.0030840586747561084	0.375	0.03363626757308587	0.1
11	4	10	0.55	0.55	0.0030840586747561084	0.25	0.03363626757308587	0.07
12	4	12	0.65	0.65	0.0030840586747561084	0.25	0.03363626757308587	0.07
13	4	11	0.6	0.6	0.0030840586747561084	0.5	0.03363626757308587	0.13
14	4	13	0.7	0.7	0.0030840586747561084	0.375	0.03363626757308587	0.1
15	1	0	0.8	0.81	0.01946513416665053	0.15	0.14372709280664592	0.05
16	0	0	0.8	0.82	0.024331417708313163	0.1	0.17965886600830738	0.05
17	4	14	0.75	0.75	0.0030840586747561084	0.5	0.03363626757308587	0.13
18	0	1	0.85	0.87	0.024331417708313163	0.025	0.17965886600830738	0.03
19	3	0	0.85	0.85	0.009732567083325264	0.2	0.07186354640332296	0.04
20	4	15	0.8	0.8	0.004866283541662632	0.375	0.03593177320166148	0.1
21	4	16	0.85	0.86	0.004866283541662632	0.375	0.03593177320166148	0.11
22	4	18	0.95	0.95	0.0030840586747561084	0.125	0.03363626757308587	0.04
23	4	17	0.9	0.9	0.0030840586747561084	0.375	0.03363626757308587	0.1
24	4	19	1.0	1.0	0.0030840586747561084	0.25	0.03363626757308587	0.07
25	4	21	1.1	1.1	0.0030840586747561084	0.125	0.03363626757308587	0.04
26	4	20	1.05	1.05	0.0030840586747561084	0.375	0.03363626757308587	0.1
27	4	22	1.15	1.15	0.0030840586747561084	0.125	0.03363626757308587	0.04
28	4	23	1.2	1.2	0.0030840586747561084	0.125	0.03363626757308587	0.04
29	4	24	1.25	1.25	0.0030840586747561084	0.125	0.03363626757308587	0.04
30	4	25	1.3	1.3	0.0030840586747561084	0.25	0.03363626757308587	0.07
31	4	26	1.35	1.35	0.0030840586747561084	0.125	0.03363626757308587	0.04
32	0	2	1.4	1.41	0.01988021580483449	0.075	0.17392571795662679	0.02
33	2	1	1.4	1.42	0.011928129482900696	0.075	0.10435543077397609	0.04
34	4	27	1.45	1.45	0.003084058674756109	0.25	0.03363626757308587	0.07
35	1	1	1.5	1.51	0.0159041726438676	0.1	0.13914057436530147	0.03
36	2	2	1.5	1.52	0.0119281294829007	0.15	0.1043554307739761	0.06
37	4	29	1.6	1.6	0.003084058674756109	0.125	0.03363626757308587	0.04
38	4	28	1.55	1.55	0.003084058674756109	0.5	0.03363626757308587	0.13
39	4	30	1.65	1.65	0.003084058674756109	0.375	0.03363626757308587	0.1
40	4	32	1.75	1.75	0.003084058674756109	0.25	0.03363626757308587	0.07
41	4	31	1.7	1.7	0.003084058674756109	0.5	0.03363626757308587	0.13
42	4	33	1.8	1.8	0.003084058674756109	0.5	0.03363626757308587	0.13
43	4	34	1.85	1.85	0.003084058674756109	0.5	0.03363626757308587	0.13
44	4	35	1.9	1.9	0.003084058674756109	0.5	0.03363626757308587	0.13
45	4	36	1.95	1.95	0.003084058674756109	0.375	0.03363626757308587	0.1
46	4	38	2.05	2.05	0.003084058674756109	0.125	0.03363626757308587	0.04
47	4	37	2.0	2.0	0.003084058674756109	0.5	0.03363626757308587	0.13
48	4	40	2.15	2.15	0.003084058674756109	0.25	0.03363626757308587	0.07
49	4	39	2.1	2.1	0.003084058674756109	0.5	0.03363626757308587	0.13
