No 	 Uid 	 Jid  	 offloadtime 	 begintime 	 commutime 	 runtime 	 energy 	 AoI
0	1	0	0.05	0.06	0.012336234699024434	0.15	0.13454507029234347	0.05
1	0	0	0.1	0.12	0.024331417708313163	0.1	0.17965886600830738	0.05
2	2	0	0.1	0.11	0.014598850624987897	0.3	0.10779531960498442	0.09
3	4	1	0.15	0.15	0.003976043160966899	0.125	0.03478514359132537	0.04
4	1	1	0.15	0.16	0.015904172643867596	0.1	0.13914057436530147	0.04
5	4	0	0.1	0.1	0.004866283541662632	0.375	0.03593177320166148	0.1
6	0	1	0.2	0.22	0.024331417708313166	0.025	0.17965886600830738	0.03
7	3	0	0.2	0.2	0.009732567083325264	0.2	0.07186354640332293	0.04
8	2	1	0.25	0.26	0.01726677544551138	0.075	0.11123160677381867	0.02
9	3	1	0.25	0.27	0.011511183630340918	0.1	0.07415440451587911	0.04
10	0	2	0.25	0.28	0.0287779590758523	0.075	0.18538601128969778	0.05
11	4	2	0.2	0.21	0.004866283541662632	0.375	0.035931773201661465	0.11
12	1	2	0.25	0.29	0.023022367260681836	0.05	0.14830880903175822	0.06
13	1	3	0.3	0.32	0.01946513416665053	0.05	0.14372709280664586	0.04
14	4	3	0.3	0.31	0.004866283541662632	0.25	0.035931773201661465	0.07
15	3	2	0.3	0.3	0.009732567083325264	0.4	0.07186354640332293	0.09
16	4	4	0.35	0.35	0.0030840586747561093	0.25	0.03363626757308587	0.07
17	4	5	0.4	0.41	0.004866283541662633	0.125	0.03593177320166147	0.04
18	2	2	0.4	0.42	0.0145988506249879	0.15	0.10779531960498441	0.06
19	3	3	0.4	0.4	0.009732567083325266	0.4	0.07186354640332294	0.09
20	1	4	0.45	0.46	0.019465134166650532	0.15	0.1437270928066459	0.04
21	2	3	0.45	0.47	0.0145988506249879	0.075	0.10779531960498441	0.04
22	1	5	0.5	0.51	0.012336234699024437	0.1	0.13454507029234347	0.04
23	3	4	0.45	0.45	0.009732567083325266	0.4	0.07186354640332294	0.1
24	0	3	0.55	0.56	0.019880215804834504	0.05	0.17392571795662684	0.02
25	2	4	0.55	0.57	0.011928129482900701	0.225	0.10435543077397609	0.08
26	0	4	0.6	0.62	0.024331417708313166	0.075	0.17965886600830736	0.04
27	2	5	0.6	0.61	0.0145988506249879	0.15	0.10779531960498441	0.05
28	4	6	0.6	0.6	0.004866283541662633	0.25	0.03593177320166147	0.07
29	3	5	0.7	0.7	0.007952086321933801	0.1	0.06957028718265074	0.02
30	2	6	0.65	0.65	0.009252176024268328	0.3	0.1009088027192576	0.08
31	0	5	0.75	0.76	0.015420293373780546	0.025	0.16818133786542935	0.02
32	2	7	0.8	0.81	0.011928129482900701	0.075	0.10435543077397609	0.03
33	4	7	0.7	0.71	0.003976043160966901	0.5	0.03478514359132537	0.14
34	3	7	0.85	0.85	0.009732567083325266	0.2	0.07186354640332294	0.04
35	0	6	0.85	0.87	0.024331417708313166	0.05	0.17965886600830736	0.04
36	3	6	0.8	0.8	0.007952086321933801	0.4	0.06957028718265074	0.1
37	0	7	0.9	0.92	0.0287779590758523	0.05	0.18538601128969778	0.03
38	1	6	0.9	0.93	0.023022367260681836	0.1	0.14830880903175822	0.06
39	2	8	0.9	0.91	0.01726677544551138	0.225	0.11123160677381867	0.07
40	4	8	0.85	0.86	0.004866283541662633	0.5	0.03593177320166147	0.14
41	4	9	0.9	0.9	0.005755591815170459	0.375	0.037077202257939555	0.1
42	3	8	0.95	0.95	0.0061681173495122185	0.4	0.06727253514617174	0.1
43	2	9	1.0	1.01	0.011928129482900701	0.225	0.10435543077397609	0.07
44	3	9	1.05	1.05	0.009732567083325266	0.2	0.07186354640332294	0.04
45	2	10	1.05	1.07	0.0145988506249879	0.075	0.10779531960498441	0.04
46	4	10	1.0	1.0	0.003976043160966901	0.375	0.03478514359132537	0.1
47	4	12	1.1	1.1	0.0030840586747561093	0.25	0.03363626757308587	0.07
48	3	10	1.15	1.15	0.009732567083325266	0.1	0.07186354640332294	0.02
49	4	11	1.05	1.06	0.004866283541662633	0.5	0.03593177320166147	0.13
50	0	8	1.15	1.17	0.024331417708313166	0.025	0.17965886600830736	0.03
51	1	7	1.2	1.21	0.012336234699024437	0.15	0.13454507029234347	0.05
52	4	13	1.15	1.16	0.004866283541662633	0.375	0.03593177320166147	0.11
53	2	11	1.25	1.26	0.01726677544551138	0.075	0.11123160677381867	0.02
54	4	14	1.25	1.25	0.005755591815170459	0.125	0.037077202257939555	0.04
55	3	11	1.25	1.27	0.011511183630340918	0.2	0.07415440451587911	0.06
56	1	8	1.25	1.28	0.023022367260681836	0.2	0.14830880903175822	0.08
57	0	9	1.3	1.31	0.019880215804834504	0.075	0.17392571795662684	0.03
58	1	9	1.35	1.36	0.019465134166650532	0.1	0.1437270928066459	0.03
59	3	12	1.3	1.3	0.007952086321933801	0.4	0.06957028718265074	0.1
60	0	10	1.35	1.38	0.024331417708313166	0.05	0.17965886600830736	0.05
61	2	12	1.35	1.37	0.0145988506249879	0.225	0.10779531960498441	0.07
62	0	11	1.4	1.41	0.019880215804834504	0.075	0.17392571795662684	0.02
63	2	13	1.4	1.42	0.011928129482900701	0.15	0.10435543077397609	0.06
64	1	10	1.45	1.46	0.015904172643867603	0.05	0.13914057436530147	0.03
65	1	11	1.5	1.51	0.019465134166650532	0.05	0.1437270928066459	0.02
66	3	14	1.5	1.5	0.009732567083325266	0.1	0.07186354640332294	0.03
67	3	13	1.45	1.45	0.007952086321933801	0.4	0.06957028718265074	0.1
68	2	14	1.5	1.52	0.0145988506249879	0.225	0.10779531960498441	0.08
69	2	15	1.55	1.56	0.0145988506249879	0.075	0.10779531960498441	0.03
70	0	12	1.55	1.57	0.024331417708313166	0.025	0.17965886600830736	0.03
71	4	15	1.55	1.55	0.004866283541662633	0.125	0.03593177320166147	0.04
72	0	13	1.65	1.66	0.019880215804834504	0.05	0.17392571795662684	0.02
73	1	12	1.65	1.67	0.015904172643867603	0.05	0.13914057436530147	0.04
74	1	13	1.7	1.71	0.019465134166650532	0.05	0.1437270928066459	0.02
75	4	16	1.6	1.6	0.0030840586747561093	0.5	0.03363626757308587	0.13
76	2	16	1.7	1.72	0.0145988506249879	0.075	0.10779531960498441	0.04
77	3	15	1.7	1.7	0.009732567083325266	0.2	0.07186354640332294	0.05
78	1	14	1.75	1.76	0.012336234699024437	0.05	0.13454507029234347	0.03
79	0	14	1.8	1.82	0.024331417708313166	0.1	0.17965886600830736	0.05
80	3	16	1.8	1.8	0.009732567083325266	0.3	0.07186354640332294	0.07
81	3	17	1.85	1.85	0.009732567083325266	0.2	0.07186354640332294	0.05
82	0	15	1.85	1.87	0.024331417708313166	0.1	0.17965886600830736	0.05
83	1	15	1.85	1.86	0.019465134166650532	0.2	0.1437270928066459	0.06
84	4	17	1.8	1.81	0.004866283541662633	0.5	0.03593177320166147	0.14
85	3	18	1.9	1.9	0.0061681173495122185	0.3	0.06727253514617174	0.08
86	3	19	1.95	1.95	0.009732567083325266	0.1	0.07186354640332294	0.03
87	1	16	1.95	1.96	0.019465134166650532	0.2	0.1437270928066459	0.05
88	2	17	1.95	1.97	0.0145988506249879	0.15	0.10779531960498441	0.06
89	2	18	2.0	2.01	0.01993302938758823	0.15	0.11466574185121364	0.04
90	1	17	2.0	2.03	0.026577372516784305	0.1	0.15288765580161817	0.05
91	0	16	2.0	2.04	0.03322171564598038	0.025	0.19110956975202273	0.05
92	3	20	2.0	2.02	0.013288686258392152	0.2	0.07644382790080909	0.06
93	4	18	2.0	2.0	0.006644343129196076	0.25	0.03822191395040454	0.07
94	0	17	2.05	2.07	0.0287779590758523	0.1	0.18538601128969778	0.04
95	1	18	2.05	2.08	0.023022367260681836	0.2	0.14830880903175822	0.08
96	4	19	2.05	2.05	0.005755591815170459	0.375	0.037077202257939555	0.1
97	3	21	2.05	2.06	0.011511183630340918	0.4	0.07415440451587911	0.11
98	3	22	2.1	2.1	0.007952086321933801	0.3	0.06957028718265074	0.07
99	4	20	2.1	2.11	0.003976043160966901	0.25	0.03478514359132537	0.08
100	2	19	2.15	2.16	0.0145988506249879	0.075	0.10779531960498441	0.03
101	0	18	2.15	2.17	0.024331417708313166	0.1	0.17965886600830736	0.05
102	2	20	2.2	2.21	0.01726677544551138	0.15	0.11123160677381867	0.04
103	3	24	2.2	2.22	0.011511183630340918	0.1	0.07415440451587911	0.04
104	3	23	2.15	2.15	0.009732567083325266	0.4	0.07186354640332294	0.1
105	1	19	2.2	2.23	0.023022367260681836	0.2	0.14830880903175822	0.08
106	2	21	2.25	2.25	0.009252176024268328	0.225	0.1009088027192576	0.06
107	4	21	2.2	2.2	0.005755591815170459	0.5	0.037077202257939555	0.13
108	3	25	2.3	2.3	0.009732567083325266	0.1	0.07186354640332294	0.03
109	1	20	2.3	2.31	0.019465134166650532	0.05	0.1437270928066459	0.03
110	0	19	2.3	2.32	0.024331417708313166	0.05	0.17965886600830736	0.04
111	1	21	2.35	2.36	0.019465134166650532	0.1	0.1437270928066459	0.04
112	0	20	2.35	2.37	0.024331417708313166	0.1	0.17965886600830736	0.05
113	3	26	2.35	2.35	0.009732567083325266	0.3	0.07186354640332294	0.08
114	0	21	2.4	2.42	0.024331417708313166	0.025	0.17965886600830736	0.03
115	3	27	2.4	2.4	0.009732567083325266	0.2	0.07186354640332294	0.04
116	4	22	2.4	2.41	0.004866283541662633	0.25	0.03593177320166147	0.08
117	2	22	2.45	2.46	0.011928129482900701	0.075	0.10435543077397609	0.03
118	3	28	2.5	2.5	0.009732567083325266	0.2	0.07186354640332294	0.04
119	0	22	2.5	2.52	0.024331417708313166	0.1	0.17965886600830736	0.05
120	2	23	2.55	2.56	0.01726677544551138	0.075	0.11123160677381867	0.02
121	4	23	2.45	2.45	0.003976043160966901	0.5	0.03478514359132537	0.13
122	0	23	2.55	2.58	0.0287779590758523	0.05	0.18538601128969778	0.05
123	4	24	2.5	2.51	0.004866283541662633	0.375	0.03593177320166147	0.11
124	2	24	2.6	2.62	0.0145988506249879	0.075	0.10779531960498441	0.03
125	3	29	2.55	2.57	0.011511183630340918	0.3	0.07415440451587911	0.09
126	1	22	2.6	2.61	0.019465134166650532	0.2	0.1437270928066459	0.05
127	0	24	2.6	2.63	0.024331417708313166	0.1	0.17965886600830736	0.06
128	3	30	2.65	2.65	0.009732567083325266	0.1	0.07186354640332294	0.02
129	4	25	2.55	2.55	0.005755591815170459	0.5	0.037077202257939555	0.13
130	4	26	2.65	2.66	0.004866283541662633	0.125	0.03593177320166147	0.04
131	3	31	2.7	2.7	0.009732567083325266	0.1	0.07186354640332294	0.02
132	2	25	2.65	2.67	0.0145988506249879	0.225	0.10779531960498441	0.08
133	1	23	2.7	2.72	0.019465134166650532	0.2	0.1437270928066459	0.07
134	0	25	2.75	2.76	0.019880215804834504	0.05	0.17392571795662684	0.02
135	4	27	2.7	2.71	0.004866283541662633	0.375	0.03593177320166147	0.1
136	1	24	2.75	2.77	0.015904172643867603	0.2	0.13914057436530147	0.07
137	2	26	2.8	2.81	0.01726677544551138	0.225	0.11123160677381867	0.06
138	3	32	2.8	2.82	0.011511183630340918	0.2	0.07415440451587911	0.06
139	1	25	2.8	2.83	0.023022367260681836	0.1	0.14830880903175822	0.06
140	0	26	2.85	2.87	0.024331417708313166	0.075	0.17965886600830736	0.04
141	4	28	2.8	2.8	0.005755591815170459	0.5	0.037077202257939555	0.13
142	4	29	2.85	2.86	0.004866283541662633	0.25	0.03593177320166147	0.08
143	3	33	2.85	2.85	0.009732567083325266	0.4	0.07186354640332294	0.09
144	2	27	2.9	2.91	0.01726677544551138	0.15	0.11123160677381867	0.04
145	0	27	2.9	2.93	0.0287779590758523	0.05	0.18538601128969778	0.05
146	3	34	2.9	2.92	0.011511183630340918	0.2	0.07415440451587911	0.06
